,problem_set,orientation,direction,target,solution,validity,generalizability,explainability_size,explainabilty_repeated_terms,explainabilty_cognitive_chunks,time_to_generate
0,0,Columns,Addition,43(earning_change),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,0,Columns,Addition,43(earning_change),(all_numeric) (no extensions)y = 6477.553 + -2012.475 * number_of_children_2019 + -23.465 * housework_hours_per_week_2019 + -34.875 * personal_care_hours_per_week_2019 + 15.761 * shopping_hours_per_week_2019 + 7.796 * leisure_hours_per_week_2019 + 0.001 * bonus_income_2018_usd + ε * checking_savings_total_amount_usd_2019 + ε * credit_card_debt_total_usd_2019 + -5.020 * times_arrested + -0.782 * earnings_job_2018,0.45126221007116996,0.45126221007116996,11.0,0.0,1.0,0.054347991943359375
2,0,Columns,Addition,43(earning_change),(all_numeric) y = 1678.073 + ε * checking_savings_total_amount_usd_2019 + ε * personal_care_hours_per_week_2019 checking_savings_total_amount_usd_2019 + ε * bonus_income_2018_usd checking_savings_total_amount_usd_2019 + ε * checking_savings_total_amount_usd_2019^2 + ε * checking_savings_total_amount_usd_2019 credit_card_debt_total_usd_2019 + ε * checking_savings_total_amount_usd_2019 release_number_2019_2.0 + ε * credit_card_debt_total_usd_2019 earnings_job_2018 + ε * earnings_job_2018^2,0.39987307926933735,0.39987307926933735,9.0,0.0,3.0,0.038819074630737305
3,0,Columns,Addition,43(earning_change),(all_numeric) y = 3321.953 + 192362145.635 * checking_savings_total_amount_usd_2019 + ε * personal_care_hours_per_week_2019 checking_savings_total_amount_usd_2019 + -256482860.846 * checking_savings_total_amount_usd_2019 release_number_2019_2.0 + ε * earnings_job_2018^2 + ε * number_of_children_2019 earnings_job_2018^2 + ε * housework_hours_per_week_2019^2 checking_savings_total_amount_usd_2019 + ε * housework_hours_per_week_2019 checking_savings_total_amount_usd_2019 credit_card_debt_total_usd_2019 + ε * housework_hours_per_week_2019 earnings_job_2018^2 + ε * personal_care_hours_per_week_2019 earnings_job_2018^2 + ε * shopping_hours_per_week_2019^2 checking_savings_total_amount_usd_2019 + ε * shopping_hours_per_week_2019 earnings_job_2018^2 + ε * leisure_hours_per_week_2019 bonus_income_2018_usd checking_savings_total_amount_usd_2019 + ε * leisure_hours_per_week_2019 checking_savings_total_amount_usd_2019^2 + ε * leisure_hours_per_week_2019 checking_savings_total_amount_usd_2019 credit_card_debt_total_usd_2019 + ε * leisure_hours_per_week_2019 earnings_job_2018^2 + ε * bonus_income_2018_usd^2 checking_savings_total_amount_usd_2019 + ε * checking_savings_total_amount_usd_2019^3 + ε * checking_savings_total_amount_usd_2019^2 credit_card_debt_total_usd_2019 + ε * checking_savings_total_amount_usd_2019 credit_card_debt_total_usd_2019^2 + 64120715.212 * checking_savings_total_amount_usd_2019 release_number_2019_2.0^2 + ε * credit_card_debt_total_usd_2019^2 earnings_job_2018 + ε * earnings_job_2018^3,0.46476111603432846,0.46476111603432846,23.0,0.0,4.0,0.31001710891723633
4,0,Columns,Addition,43(earning_change),(all_numeric) y = 4491.162 + ε * bonus_income_2018_usd + ε * checking_savings_total_amount_usd_2019 + -0.880 * times_arrested + ε * bonus_income_2018_usd/release_number_2019 + ε * bonus_income_2018_usd/number_of_children_2019 + ε * bonus_income_2018_usd/housework_hours_per_week_2019 + ε * bonus_income_2018_usd/personal_care_hours_per_week_2019 + ε * bonus_income_2018_usd/shopping_hours_per_week_2019 + ε * bonus_income_2018_usd/leisure_hours_per_week_2019 + ε * bonus_income_2018_usd/checking_savings_total_amount_usd_2019 + ε * bonus_income_2018_usd/credit_card_debt_total_usd_2019 + ε * bonus_income_2018_usd/times_arrested + ε * bonus_income_2018_usd/number_of_children_20190 + ε * checking_savings_total_amount_usd_2019/number_of_children_2019 + ε * checking_savings_total_amount_usd_2019/housework_hours_per_week_2019 + ε * checking_savings_total_amount_usd_2019/personal_care_hours_per_week_2019 + ε * checking_savings_total_amount_usd_2019/shopping_hours_per_week_2019 + -0.000 * checking_savings_total_amount_usd_2019/leisure_hours_per_week_2019 + ε * checking_savings_total_amount_usd_2019/bonus_income_2018_usd + ε * checking_savings_total_amount_usd_2019/credit_card_debt_total_usd_2019 + ε * checking_savings_total_amount_usd_2019/times_arrested + -0.011 * times_arrested/release_number_2019 + -0.017 * times_arrested/credit_card_debt_total_usd_2019 + 0.172 * times_arrested/number_of_children_20190,0.44374323604359067,0.44374323604359067,25.0,11.0,3.0,0.20414018630981445
5,0,Columns,Addition,43(earning_change),(all_numeric) y = -1902.860 + ε * bonus_income_2018_usd + ε * checking_savings_total_amount_usd_2019 + ε * 1/release_number_2019 + 13.138 * log(number_of_children_2019) + 13.138 * 1/number_of_children_2019 + ε * exp(number_of_children_2019) + -3.296 * log(housework_hours_per_week_2019) + -3.296 * 1/housework_hours_per_week_2019 + ε * exp(housework_hours_per_week_2019) + -0.332 * log(personal_care_hours_per_week_2019) + -0.332 * 1/personal_care_hours_per_week_2019 + ε * exp(personal_care_hours_per_week_2019) + ε * log(shopping_hours_per_week_2019) + ε * exp(shopping_hours_per_week_2019) + ε * log(leisure_hours_per_week_2019) + ε * exp(leisure_hours_per_week_2019) + ε * 1/bonus_income_2018_usd + ε * exp(bonus_income_2018_usd) + ε * 1/checking_savings_total_amount_usd_2019 + ε * exp(checking_savings_total_amount_usd_2019) + ε * log(credit_card_debt_total_usd_2019) + ε * exp(credit_card_debt_total_usd_2019) + ε * log(times_arrested) + ε * exp(times_arrested),0.14288440890484522,0.14288440890484522,25.0,10.0,5.0,0.03151297569274902
6,0,Columns,Addition,43(earning_change),(all_numeric) y = 6477.553 + -2012.475 * number_of_children_2019 + -23.465 * housework_hours_per_week_2019 + -34.875 * personal_care_hours_per_week_2019 + 15.761 * shopping_hours_per_week_2019 + 7.796 * leisure_hours_per_week_2019 + 0.001 * bonus_income_2018_usd + ε * checking_savings_total_amount_usd_2019 + ε * credit_card_debt_total_usd_2019 + -5.020 * times_arrested + -0.782 * earnings_job_2018,0.45126221007116996,0.45126221007116996,11.0,0.0,1.0,0.06250882148742676
7,0,Columns,Addition,43(earning_change),(all_textual) (no extensions)y = -6343.435 + 1284.079 * school_internet_usage_frequency_2019_every_day + -621.352 * school_internet_usage_frequency_2019_never + -3042.663 * school_internet_usage_frequency_2019_not_in_school_past_30_days + 111.028 * job_internet_usage_frequency_2019_few_times_a_week + -2404.482 * interest_in_life_frequency_last_month_2019_almost_every_day + 983.290 * satisfaction_frequency_last_month_2019_almost_every_day + -681.095 * satisfaction_frequency_last_month_2019_every_day + 35.271 * contribution_to_society_frequency_2019_almost_every_day + -3373.389 * community_belonging_frequency_2019_about_once_a_week + -2184.288 * community_belonging_frequency_2019_once_or_twice + -1100.836 * society_getting_better_frequency_2019_once_or_twice + 1437.179 * society_getting_better_frequency_2019_two_or_three_times_a_week + 1291.107 * people_are_good_frequency_2019_almost_every_day + -646.723 * people_are_good_frequency_2019_two_or_three_times_a_week + 724.703 * society_makes_sense_frequency_2019_almost_every_day + -1285.494 * society_makes_sense_frequency_2019_once_or_twice + -3115.821 * personality_thorough_worker_2019_describes_me_perfectly + 20.505 * personality_thorough_worker_2019_describes_me_well + 419.225 * personality_communicative_talkative_2019_describes_me_moderately + 75.171 * personality_communicative_talkative_2019_describes_me_perfectly + -442.421 * personality_communicative_talkative_2019_describes_me_very_well + 2732.405 * personality_original_new_ideas_2019_describes_me_moderately + 3135.089 * personality_worrier_2019_describes_me_perfectly + -327.677 * personality_worrier_2019_describes_me_very_little + 375.841 * personality_forgiving_2019_describes_me_perfectly + 820.635 * personality_somewhat_lazy_2019_describes_me_a_little + -1901.544 * personality_somewhat_lazy_2019_describes_me_very_little + -451.165 * personality_somewhat_lazy_2019_describes_me_very_well + 812.212 * personality_somewhat_lazy_2019_describes_me_well + 1752.774 * personality_values_artistic_experience_2019_describes_me_moderately + 1062.743 * personality_values_artistic_experience_2019_describes_me_perfectly + 280.330 * personality_nervous_2019_describes_me_moderately + 2126.543 * personality_effective_task_completion_2019_describes_me_very_well + 1903.380 * personality_reserved_2019_describes_me_moderately + 254.024 * personality_reserved_2019_describes_me_well + 3746.037 * personality_imaginative_2019_describes_me_moderately + -295.379 * personality_imaginative_2019_describes_me_very_well + 121.386 * personality_imaginative_2019_describes_me_well + 483.285 * personality_relaxed_stress_handling_2019_describes_me_very_well + 216.928 * personality_eager_for_knowledge_2019_describes_me_perfectly + -1382.286 * personality_eager_for_knowledge_2019_describes_me_very_well + 1621.562 * went_without_health_insurance_2017_2018_no + 252.492 * drinks_alcohol_2019_no + -148.850 * drinks_alcohol_2019_yes + 32.177 * ever_arrested_no + -2224.182 * ethnic_identity_importance_2019_not_at_all_important + 695.340 * ethnic_identity_importance_2019_not_very_important + 1168.161 * current_state_fips_2019_California,0.06733638013278564,0.06733638013278564,49.0,0.0,2.0,0.7609539031982422
0,1,Columns,Addition,43(earning_change),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Columns,Addition,43(earning_change),(all_numeric) (no extensions)y = 6687.864 + -2002.738 * number_of_children_2019 + -38.419 * housework_hours_per_week_2019 + -41.752 * personal_care_hours_per_week_2019 + 26.794 * shopping_hours_per_week_2019 + 8.854 * leisure_hours_per_week_2019 + 0.001 * bonus_income_2018_usd + ε * checking_savings_total_amount_usd_2019 + ε * credit_card_debt_total_usd_2019 + -6.832 * times_arrested + -0.761 * earnings_job_2018,0.4326142420389152,0.522159273164232,11.0,0.0,1.0,0.03844785690307617
